Old Item ID,Old Item Name,Old Room,Old Location,Old Storage ID,Old Location Code,Old Category,Old Quantity,Old Unit,Old Status,Old Remarks,Suggested New Location Code,Confidence,Reason Unmatched,Reviewer Decision,Final Location Code,Notes
TOL-005,Carpenter's Mallet,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,6.0,sets,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-006,Chisel Set with Frame,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,sets,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-008,Combination Square 30cm,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,,Good,Big tools cupboard,419A-SCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-011,Drill Bits 1.5-13mm,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,box,Good,Big tools cupboard,419A-PCB-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-012,"Drill Bits, Assorted",419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,box,Good,Big tools cupboard,419A-PDS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-014,Electric Hand Drill,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-PDS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-015,Electric Hand Saw,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-011,Glass Sandpaper,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Materials / Consumables,2.0,,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-018,Hammer,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,5.0,sets,Good,Big tools cupboard,419A-SCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-020,Hand Drill,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,5.0,sets,Good,Big tools cupboard,419A-PDS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-022,Hand Drill Charger,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,sets,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-023,"Hand Drill, Woodworking",419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,sets,Good,Big tools cupboard,419A-WSG-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
